algorithm,matrix_size,run,time_ms,residual,status
Carson  (LU Decomp),8,24,0.052375,2.018494e+02,OK
Carson  (LU Decomp),8,25,0.046167,2.018494e+02,OK
Carson  (LU Decomp),8,26,0.047208,2.018494e+02,OK
Carson  (LU Decomp),8,27,0.046333,2.018494e+02,OK
Carson  (LU Decomp),8,28,0.045375,2.018494e+02,OK
Carson  (LU Decomp),8,29,0.045416,2.018494e+02,OK
Carson  (LU Decomp),8,30,0.045875,2.018494e+02,OK
Damian  (RREF),8,1,0.081542,4.633506e-12,OK
Damian  (RREF),8,2,0.075625,4.633506e-12,OK
Damian  (RREF),8,3,0.075416,4.633506e-12,OK
Damian  (RREF),8,4,0.075041,4.633506e-12,OK
Damian  (RREF),8,5,0.074375,4.633506e-12,OK
Damian  (RREF),8,6,0.074000,4.633506e-12,OK
Damian  (RREF),8,7,0.073791,4.633506e-12,OK
Damian  (RREF),8,8,0.074209,4.633506e-12,OK
Damian  (RREF),8,9,0.074625,4.633506e-12,OK
Damian  (RREF),8,10,0.074083,4.633506e-12,OK
Damian  (RREF),8,11,0.074167,4.633506e-12,OK
Damian  (RREF),8,12,0.080916,4.633506e-12,OK
Damian  (RREF),8,13,0.085333,4.633506e-12,OK
Damian  (RREF),8,14,0.074292,4.633506e-12,OK
Damian  (RREF),8,15,0.073584,4.633506e-12,OK
Damian  (RREF),8,16,0.074166,4.633506e-12,OK
Damian  (RREF),8,17,0.074084,4.633506e-12,OK
Damian  (RREF),8,18,0.074083,4.633506e-12,OK
Damian  (RREF),8,19,0.073875,4.633506e-12,OK
Damian  (RREF),8,20,0.074125,4.633506e-12,OK
Damian  (RREF),8,21,0.074708,4.633506e-12,OK
Damian  (RREF),8,22,0.074500,4.633506e-12,OK
Damian  (RREF),8,23,0.074959,4.633506e-12,OK
Damian  (RREF),8,24,0.077208,4.633506e-12,OK
Damian  (RREF),8,25,0.073750,4.633506e-12,OK
Damian  (RREF),8,26,0.073667,4.633506e-12,OK
Damian  (RREF),8,27,0.073416,4.633506e-12,OK
Damian  (RREF),8,28,0.073417,4.633506e-12,OK
Damian  (RREF),8,29,0.076833,4.633506e-12,OK
Damian  (RREF),8,30,0.073750,4.633506e-12,OK
Tyler   (Graph-based),8,1,1.625916,2.958007e-12,OK
Tyler   (Graph-based),8,2,1.622708,2.958007e-12,OK
Tyler   (Graph-based),8,3,1.620708,2.958007e-12,OK
Tyler   (Graph-based),8,4,1.585875,2.958007e-12,OK
Tyler   (Graph-based),8,5,1.670958,2.958007e-12,OK
Tyler   (Graph-based),8,6,1.703917,2.958007e-12,OK
Tyler   (Graph-based),8,7,1.585625,2.958007e-12,OK
Tyler   (Graph-based),8,8,1.588000,2.958007e-12,OK
Tyler   (Graph-based),8,9,1.605417,2.958007e-12,OK
Tyler   (Graph-based),8,10,1.583625,2.958007e-12,OK
Tyler   (Graph-based),8,11,1.597125,2.958007e-12,OK
Tyler   (Graph-based),8,12,1.593292,2.958007e-12,OK
Tyler   (Graph-based),8,13,1.600333,2.958007e-12,OK
Tyler   (Graph-based),8,14,1.577750,2.958007e-12,OK
Tyler   (Graph-based),8,15,1.584833,2.958007e-12,OK
Tyler   (Graph-based),8,16,1.602459,2.958007e-12,OK
Tyler   (Graph-based),8,17,1.592125,2.958007e-12,OK
Tyler   (Graph-based),8,18,1.579375,2.958007e-12,OK
Tyler   (Graph-based),8,19,1.619833,2.958007e-12,OK
Tyler   (Graph-based),8,20,1.579000,2.958007e-12,OK
Tyler   (Graph-based),8,21,1.590541,2.958007e-12,OK
Tyler   (Graph-based),8,22,1.600959,2.958007e-12,OK
Tyler   (Graph-based),8,23,1.595083,2.958007e-12,OK
Tyler   (Graph-based),8,24,1.582333,2.958007e-12,OK
Tyler   (Graph-based),8,25,1.600458,2.958007e-12,OK
Tyler   (Graph-based),8,26,1.627959,2.958007e-12,OK
Tyler   (Graph-based),8,27,1.574792,2.958007e-12,OK
Tyler   (Graph-based),8,28,1.581625,2.958007e-12,OK
Tyler   (Graph-based),8,29,1.597708,2.958007e-12,OK
Tyler   (Graph-based),8,30,1.591000,2.958007e-12,OK
Jewell  (Hash + Pivot),16,1,0.454791,4.453581e+01,OK
Jewell  (Hash + Pivot),16,2,0.349792,4.453581e+01,OK
Jewell  (Hash + Pivot),16,3,0.348084,4.453581e+01,OK
Jewell  (Hash + Pivot),16,4,0.346041,4.453581e+01,OK
Jewell  (Hash + Pivot),16,5,0.346625,4.453581e+01,OK
Jewell  (Hash + Pivot),16,6,0.348084,4.453581e+01,OK
Jewell  (Hash + Pivot),16,7,0.345583,4.453581e+01,OK
Jewell  (Hash + Pivot),16,8,0.344875,4.453581e+01,OK
Jewell  (Hash + Pivot),16,9,0.380792,4.453581e+01,OK
Jewell  (Hash + Pivot),16,10,0.345000,4.453581e+01,OK
Jewell  (Hash + Pivot),16,11,0.346667,4.453581e+01,OK
Jewell  (Hash + Pivot),16,12,0.345291,4.453581e+01,OK
Jewell  (Hash + Pivot),16,13,0.343208,4.453581e+01,OK
Jewell  (Hash + Pivot),16,14,0.345667,4.453581e+01,OK
Jewell  (Hash + Pivot),16,15,0.347375,4.453581e+01,OK
Jewell  (Hash + Pivot),16,16,0.344084,4.453581e+01,OK
Jewell  (Hash + Pivot),16,17,0.345292,4.453581e+01,OK
Jewell  (Hash + Pivot),16,18,0.343833,4.453581e+01,OK
Jewell  (Hash + Pivot),16,19,0.345166,4.453581e+01,OK
Jewell  (Hash + Pivot),16,20,0.344542,4.453581e+01,OK
Jewell  (Hash + Pivot),16,21,0.344958,4.453581e+01,OK
Jewell  (Hash + Pivot),16,22,0.345917,4.453581e+01,OK
Jewell  (Hash + Pivot),16,23,0.378709,4.453581e+01,OK
Jewell  (Hash + Pivot),16,24,0.387417,4.453581e+01,OK
Jewell  (Hash + Pivot),16,25,0.345500,4.453581e+01,OK
Jewell  (Hash + Pivot),16,26,0.346375,4.453581e+01,OK
Jewell  (Hash + Pivot),16,27,0.345583,4.453581e+01,OK
Jewell  (Hash + Pivot),16,28,0.344458,4.453581e+01,OK
Jewell  (Hash + Pivot),16,29,0.344917,4.453581e+01,OK
Jewell  (Hash + Pivot),16,30,0.344500,4.453581e+01,OK
Carson  (LU Decomp),16,1,0.098708,3.101892e+02,OK
Carson  (LU Decomp),16,2,0.061334,3.101892e+02,OK
Carson  (LU Decomp),16,3,0.055208,3.101892e+02,OK
Carson  (LU Decomp),16,4,0.054125,3.101892e+02,OK
Carson  (LU Decomp),16,5,0.053791,3.101892e+02,OK
Carson  (LU Decomp),16,6,0.052875,3.101892e+02,OK
Carson  (LU Decomp),16,7,0.053291,3.101892e+02,OK
Carson  (LU Decomp),16,8,0.053208,3.101892e+02,OK
Carson  (LU Decomp),16,9,0.052542,3.101892e+02,OK
Carson  (LU Decomp),16,10,0.051750,3.101892e+02,OK
Carson  (LU Decomp),16,11,0.052625,3.101892e+02,OK
Carson  (LU Decomp),16,12,0.051750,3.101892e+02,OK
Carson  (LU Decomp),16,13,0.051708,3.101892e+02,OK
Carson  (LU Decomp),16,14,0.052500,3.101892e+02,OK
Carson  (LU Decomp),16,15,0.051542,3.101892e+02,OK
Carson  (LU Decomp),16,16,0.051916,3.101892e+02,OK
Carson  (LU Decomp),16,17,0.051625,3.101892e+02,OK
Carson  (LU Decomp),16,18,0.051500,3.101892e+02,OK
Carson  (LU Decomp),16,19,0.051333,3.101892e+02,OK
Carson  (LU Decomp),16,20,0.051250,3.101892e+02,OK
Carson  (LU Decomp),16,21,0.051500,3.101892e+02,OK
Carson  (LU Decomp),16,22,0.051666,3.101892e+02,OK
Carson  (LU Decomp),16,23,0.051458,3.101892e+02,OK
Carson  (LU Decomp),16,24,0.051458,3.101892e+02,OK
Carson  (LU Decomp),16,25,0.051416,3.101892e+02,OK
Carson  (LU Decomp),16,26,0.051208,3.101892e+02,OK
Carson  (LU Decomp),16,27,0.051375,3.101892e+02,OK
Carson  (LU Decomp),16,28,0.051083,3.101892e+02,OK
Carson  (LU Decomp),16,29,0.051541,3.101892e+02,OK
Carson  (LU Decomp),16,30,0.051958,3.101892e+02,OK
Damian  (RREF),16,1,0.463542,1.461940e-12,OK
Damian  (RREF),16,2,0.463917,1.461940e-12,OK
Damian  (RREF),16,3,0.461708,1.461940e-12,OK
Damian  (RREF),16,4,0.453667,1.461940e-12,OK
Damian  (RREF),16,5,0.452625,1.461940e-12,OK
Damian  (RREF),16,6,0.458708,1.461940e-12,OK
Damian  (RREF),16,7,0.460250,1.461940e-12,OK
Damian  (RREF),16,8,0.456500,1.461940e-12,OK
Damian  (RREF),16,9,0.452583,1.461940e-12,OK
Damian  (RREF),16,10,0.450375,1.461940e-12,OK
Damian  (RREF),16,11,0.454000,1.461940e-12,OK
Damian  (RREF),16,12,0.451000,1.461940e-12,OK
Damian  (RREF),16,13,0.450625,1.461940e-12,OK
